geography code,total,W0,M0,A0,B0,O0
E02002559,8842,8614,90,103,24,11
E02002560,5997,5870,53,53,15,6
E02002561,5741,5604,56,73,6,2
E02002562,6066,5834,106,93,25,8
E02002563,5463,5332,61,44,20,6
E02002564,9502,9334,61,80,13,14
E02002565,5450,5262,54,95,9,30
E02002566,6918,6061,96,663,65,33
E02002567,7254,6956,97,130,42,29
E02002568,5905,5722,77,79,9,18
E02002569,9095,8779,66,197,19,34
E02002570,8213,7788,85,289,30,21
E02002571,6516,6298,75,85,47,11
E02002572,6312,6032,110,133,23,14
E02002573,8290,8109,59,88,10,24
E02004290,5981,5890,24,63,1,3
E02004291,6787,6721,21,40,3,2
E02004292,7916,7756,60,94,3,3
E02004293,9379,9236,47,76,11,9
E02004294,8484,8343,45,73,13,10
E02004295,7537,7432,58,44,1,2
E02004296,8033,7900,42,74,7,10
E02004297,7900,7820,33,35,3,9
E02004298,9703,9586,52,46,10,9
E02004299,8474,8378,27,55,4,10
E02004300,7686,7614,25,33,8,6
E02004301,8894,8807,29,46,8,4
E02004302,7747,7637,33,55,12,10
E02004303,11457,11300,73,74,6,4
E02004304,8892,8779,38,69,2,4
E02004305,8640,8558,40,34,4,4
E02004306,5789,5710,34,31,10,4
E02004307,6570,6516,24,19,9,2
E02004308,7819,7447,106,183,38,45
E02004309,5902,5526,84,221,28,43
E02004310,7962,7845,30,65,3,19
E02004311,9108,8994,31,63,14,6
E02004312,7549,7407,42,73,20,7
E02004313,6684,6273,83,231,33,64
E02004314,12248,10847,292,886,98,125
E02004315,10184,9429,173,398,69,115
E02004316,5683,5623,21,29,10,0
E02004317,7663,7532,55,38,17,21
E02004318,6099,5834,48,173,5,39
E02004319,7474,7378,29,56,2,9
E02004320,8956,8860,28,58,2,8
E02004321,8345,8190,39,83,12,21
E02004322,8490,8382,48,42,7,11
E02004323,7906,7804,41,49,3,9
E02004324,5732,5684,23,20,2,3
E02004325,8722,8621,52,37,10,2
E02004326,6190,6097,26,54,4,9
E02004327,6374,6272,36,62,3,1
E02004328,7337,7272,32,26,2,5
E02004329,6772,6670,32,62,6,2
E02004330,5944,5882,26,25,5,6
E02004331,7085,6979,47,47,9,3
E02004332,7278,7171,37,57,6,7
E02004333,7181,7108,29,35,1,8
E02004334,7370,7301,39,24,5,1
E02004335,6289,6189,28,48,17,7
E02004336,6876,6802,29,32,12,1
E02004337,9106,9014,35,37,11,9
E02004338,6761,6707,35,8,3,8
E02004339,6879,6796,44,17,11,11
E02004340,10363,10263,51,34,11,4
E02004341,8417,8279,48,77,6,7
E02004342,5967,5877,40,28,12,10
E02004343,5527,5493,21,9,3,1
E02004344,7034,6951,45,26,9,3
E02004345,12759,12659,52,35,9,4
E02004346,5241,5197,28,9,1,6
E02004347,7040,6889,57,69,13,12
E02004348,8063,7979,38,38,6,2
E02004349,9228,9127,50,41,7,3
E02004350,9614,9516,42,42,8,6
E02004351,7025,6959,30,30,3,3
E02004352,7566,7417,58,79,4,8
E02004353,7549,7431,42,56,14,6
E02004354,8755,8639,53,55,7,1
E02004355,7257,7174,34,28,5,16
E02002483,9084,8947,46,84,4,3
E02002484,10316,10128,73,89,20,6
E02002485,7835,7693,34,85,18,5
E02002487,5357,5039,48,222,31,17
E02002488,6110,5969,39,91,6,5
E02002489,7927,7433,73,347,53,21
E02002490,6079,6003,23,34,6,13
E02002491,6559,6472,32,46,3,6
E02002492,6684,6604,26,45,1,8
E02002493,6458,6389,34,23,6,6
E02002494,7750,7623,63,59,3,2
E02006909,11869,11599,59,179,19,13
E02002496,11646,6553,338,3749,456,550
E02002497,6268,5789,126,245,85,23
E02002498,8584,6159,259,1455,446,265
E02002499,7516,7288,104,49,67,8
E02002500,5919,4786,144,860,53,76
E02002501,5346,4826,93,338,41,48
E02002502,9615,9290,122,80,108,15
E02002503,6515,5981,158,268,60,48
E02002504,9711,7685,245,1505,61,215
E02002505,6254,6056,117,31,48,2
E02002506,5932,5425,103,292,66,46
E02002507,6027,5467,46,456,37,21
E02002508,5074,4490,45,498,8,33
E02002509,5583,5200,85,209,65,24
E02002510,5712,5478,53,145,6,30
E02002512,5305,5087,31,161,9,17
E02002513,8844,8667,85,41,40,11
E02002514,8967,8742,102,74,33,16
E02006811,9594,9086,106,312,42,48
E02005702,6554,6472,39,33,4,6
E02005703,6766,6664,29,62,5,6
E02005704,12408,12330,34,28,8,8
E02005705,7509,7454,18,30,3,4
E02005706,9620,9438,56,103,11,12
E02005707,6897,6816,33,31,15,2
E02005708,10450,10383,33,21,3,10
E02005709,6860,6739,50,57,6,8
E02005710,8431,8255,55,114,2,5
E02005711,8341,8231,43,56,6,5
E02005712,7030,6886,23,115,2,4
E02005713,6677,6638,15,20,1,3
E02005714,5380,5306,27,31,9,7
E02005715,8633,8508,62,52,8,3
E02005716,8783,8677,67,36,2,1
E02005717,7805,7730,40,27,6,2
E02005718,6617,6561,25,26,1,4
E02005719,7617,7540,35,36,4,2
E02005720,12092,11752,110,128,92,10
E02005721,5180,5098,30,33,16,3
E02005722,7115,7041,35,31,1,7
E02005723,6281,6168,40,48,21,4
E02005724,6146,6031,25,64,6,20
E02005725,6516,6189,48,248,14,17
E02005726,7708,7261,63,343,17,24
E02005727,6398,6344,25,21,4,4
E02005728,7102,7051,23,15,8,5
E02005729,5620,5543,45,25,3,4
E02005730,13097,12893,111,66,6,21
E02005731,10853,10709,55,80,5,4
E02005732,9052,8944,55,44,4,5
E02005733,8136,8044,45,36,8,3
E02005734,6308,6231,34,33,3,7
E02005735,7940,7687,50,181,10,12
E02005736,7555,7365,40,140,2,8
E02005737,7227,7133,34,50,3,7
E02005738,5067,5018,19,25,2,3
E02005739,9464,9365,46,47,5,1
E02005740,10275,10182,34,41,10,8
E02005741,8518,8389,41,81,2,5
E02002515,6810,6684,60,55,10,1
E02002516,5734,5642,33,48,9,2
E02002517,5380,5310,39,27,4,0
E02002518,10723,10587,74,44,12,6
E02002519,7045,6946,49,32,6,12
E02002520,13176,13035,74,49,5,13
E02002521,5958,5866,51,32,1,8
E02002523,6514,6418,57,19,4,16
E02002524,5394,5353,21,16,3,1
E02002525,8357,8294,34,20,7,2
E02002526,7454,7377,40,26,5,6
E02002527,5177,5134,22,9,4,8
E02002529,5736,5681,35,13,5,2
E02002530,6519,6435,37,39,2,6
E02002532,6261,6167,34,44,4,12
E02002533,5758,5662,36,43,15,2
E02002534,5758,5701,17,34,0,6
E02006812,7353,7232,55,42,8,16
E02006910,10070,9679,85,277,18,11
E02002535,10032,9863,57,89,7,16
E02002536,9595,9473,70,39,9,4
E02002537,9013,8871,77,34,20,11
E02002538,5989,5881,48,38,13,9
E02002539,8793,8420,84,255,11,23
E02002540,6286,6164,32,79,9,2
E02002541,6301,6154,36,90,8,13
E02002542,8341,8045,93,154,36,13
E02002543,8255,7936,70,212,21,16
E02002544,8594,8218,158,119,86,13
E02002545,5395,5250,14,115,13,3
E02002546,7739,7324,96,225,72,22
E02002547,6343,6100,48,161,22,12
E02002548,11233,8830,243,1610,427,123
E02002549,7844,7650,40,122,17,15
E02002550,6398,5864,86,390,31,27
E02002551,6531,5393,97,899,83,59
E02002552,6814,6561,105,99,39,10
E02002553,5891,5568,61,216,26,20
E02002554,5505,5337,50,73,33,12
E02002555,9928,9552,106,223,30,17
E02002556,7160,6597,67,447,23,26
E02002557,13885,12990,135,645,65,50
E02002558,9745,9258,124,298,32,33
E02001682,7853,7747,40,49,10,7
E02001683,9134,9026,55,39,8,6
E02001684,6867,6566,85,133,55,28
E02001685,8256,8094,60,66,20,16
E02001686,7099,6985,37,54,9,14
E02001688,7726,7074,115,324,123,90
E02001689,8243,7477,93,401,78,194
E02001690,7579,7349,59,130,21,20
E02001691,8327,7447,129,453,142,156
E02001692,6414,6175,57,119,30,33
E02001693,5613,5477,33,55,22,26
E02001694,6565,6425,45,70,19,6
E02001695,6345,6188,34,103,6,14
E02001696,9399,9185,43,118,37,16
E02001697,7823,7620,49,103,19,32
E02001698,7272,7159,37,60,3,13
E02001699,6980,6845,35,71,17,12
E02001700,10606,10351,76,152,13,14
E02001701,6320,6163,50,95,6,6
E02001702,8055,7822,51,86,70,26
E02001703,5702,5649,29,20,2,2
E02001704,7156,7002,31,62,30,31
E02001705,7045,6932,20,57,15,21
E02001706,6653,6498,49,72,19,15
