geography code,M 16_19 1,M 16_19 2,M 16_19 3,M 16_19 4,M 16_19 5,M 16_19 6,M 16_19 7,M 16_19 8,M 16_19 9,M 20_21 1,M 20_21 2,M 20_21 3,M 20_21 4,M 20_21 5,M 20_21 6,M 20_21 7,M 20_21 8,M 20_21 9,M 22_24 1,M 22_24 2,M 22_24 3,M 22_24 4,M 22_24 5,M 22_24 6,M 22_24 7,M 22_24 8,M 22_24 9,M 25_29 1,M 25_29 2,M 25_29 3,M 25_29 4,M 25_29 5,M 25_29 6,M 25_29 7,M 25_29 8,M 25_29 9,M 30_34 1,M 30_34 2,M 30_34 3,M 30_34 4,M 30_34 5,M 30_34 6,M 30_34 7,M 30_34 8,M 30_34 9,M 35_39 1,M 35_39 2,M 35_39 3,M 35_39 4,M 35_39 5,M 35_39 6,M 35_39 7,M 35_39 8,M 35_39 9,M 40_44 1,M 40_44 2,M 40_44 3,M 40_44 4,M 40_44 5,M 40_44 6,M 40_44 7,M 40_44 8,M 40_44 9,M 45_49 1,M 45_49 2,M 45_49 3,M 45_49 4,M 45_49 5,M 45_49 6,M 45_49 7,M 45_49 8,M 45_49 9,M 50_54 1,M 50_54 2,M 50_54 3,M 50_54 4,M 50_54 5,M 50_54 6,M 50_54 7,M 50_54 8,M 50_54 9,M 55_59 1,M 55_59 2,M 55_59 3,M 55_59 4,M 55_59 5,M 55_59 6,M 55_59 7,M 55_59 8,M 55_59 9,M 60_64 1,M 60_64 2,M 60_64 3,M 60_64 4,M 60_64 5,M 60_64 6,M 60_64 7,M 60_64 8,M 60_64 9,M 65+ 1,M 65+ 2,M 65+ 3,M 65+ 4,M 65+ 5,M 65+ 6,M 65+ 7,M 65+ 8,M 65+ 9,F 16_19 1,F 16_19 2,F 16_19 3,F 16_19 4,F 16_19 5,F 16_19 6,F 16_19 7,F 16_19 8,F 16_19 9,F 20_21 1,F 20_21 2,F 20_21 3,F 20_21 4,F 20_21 5,F 20_21 6,F 20_21 7,F 20_21 8,F 20_21 9,F 22_24 1,F 22_24 2,F 22_24 3,F 22_24 4,F 22_24 5,F 22_24 6,F 22_24 7,F 22_24 8,F 22_24 9,F 25_29 1,F 25_29 2,F 25_29 3,F 25_29 4,F 25_29 5,F 25_29 6,F 25_29 7,F 25_29 8,F 25_29 9,F 30_34 1,F 30_34 2,F 30_34 3,F 30_34 4,F 30_34 5,F 30_34 6,F 30_34 7,F 30_34 8,F 30_34 9,F 35_39 1,F 35_39 2,F 35_39 3,F 35_39 4,F 35_39 5,F 35_39 6,F 35_39 7,F 35_39 8,F 35_39 9,F 40_44 1,F 40_44 2,F 40_44 3,F 40_44 4,F 40_44 5,F 40_44 6,F 40_44 7,F 40_44 8,F 40_44 9,F 45_49 1,F 45_49 2,F 45_49 3,F 45_49 4,F 45_49 5,F 45_49 6,F 45_49 7,F 45_49 8,F 45_49 9,F 50_54 1,F 50_54 2,F 50_54 3,F 50_54 4,F 50_54 5,F 50_54 6,F 50_54 7,F 50_54 8,F 50_54 9,F 55_59 1,F 55_59 2,F 55_59 3,F 55_59 4,F 55_59 5,F 55_59 6,F 55_59 7,F 55_59 8,F 55_59 9,F 60_64 1,F 60_64 2,F 60_64 3,F 60_64 4,F 60_64 5,F 60_64 6,F 60_64 7,F 60_64 8,F 60_64 9,F 65+ 1,F 65+ 2,F 65+ 3,F 65+ 4,F 65+ 5,F 65+ 6,F 65+ 7,F 65+ 8,F 65+ 9
E02002559,40,29,1,33,0,97,1,1,1,10,36,2,6,0,4,0,0,0,14,82,7,12,0,1,0,1,3,12,149,21,6,1,1,1,2,1,8,247,44,6,0,0,1,1,2,12,234,44,5,1,0,4,8,1,13,287,85,8,1,1,1,6,4,12,246,67,8,3,0,4,11,1,11,183,76,6,4,1,1,6,1,15,134,68,11,29,0,1,10,5,13,94,69,4,88,1,1,11,7,16,29,67,5,516,1,0,4,2,68,15,0,9,0,76,1,0,0,21,24,0,4,1,9,5,1,0,29,70,2,3,0,4,7,2,5,54,133,14,11,0,7,15,1,1,98,140,9,7,1,2,34,4,4,114,170,34,12,0,2,34,14,6,113,163,47,12,0,3,22,8,3,106,186,38,8,1,0,21,12,6,90,147,27,6,7,0,26,8,7,70,72,29,10,28,1,22,16,6,52,40,29,1,167,0,6,5,4,37,8,32,0,588,0,3,4,4
E02002560,50,32,2,20,0,67,0,1,2,14,36,2,14,0,6,0,1,5,12,57,2,10,0,4,1,0,2,4,117,11,20,0,1,1,3,0,6,112,16,8,0,0,3,1,0,9,170,23,15,0,0,4,8,0,10,187,34,7,0,0,2,8,1,8,173,42,12,0,2,1,7,0,15,161,26,10,4,0,1,4,2,13,97,25,3,9,0,1,9,1,13,62,27,8,62,0,0,15,1,12,13,16,1,395,0,0,1,7,51,18,3,8,0,46,3,0,1,20,22,0,5,0,3,6,0,0,33,38,2,1,0,2,5,0,3,45,84,4,15,0,4,12,1,1,69,80,5,5,0,3,15,4,3,85,79,15,6,0,0,26,9,0,98,122,17,10,1,0,17,9,4,72,135,14,7,0,1,21,8,1,68,91,18,8,0,1,11,11,2,59,57,6,3,17,0,6,16,2,39,25,12,0,114,0,1,4,5,28,7,7,0,446,1,0,1,3
E02002561,23,19,2,16,0,64,0,3,1,11,34,3,9,0,5,0,0,0,11,59,4,6,0,3,0,1,0,10,104,8,18,0,1,1,1,1,8,105,5,8,0,2,4,4,1,9,110,21,6,1,0,0,9,0,5,142,29,9,0,0,0,9,2,9,151,27,4,2,0,1,6,2,6,160,30,12,11,1,2,11,0,17,142,30,9,23,0,3,10,1,32,93,18,13,84,0,0,15,3,14,18,2,0,422,0,0,1,6,39,15,0,13,0,42,2,2,1,25,22,1,3,0,7,4,0,0,28,45,0,4,0,4,7,0,2,35,82,4,11,0,2,13,2,5,49,91,3,7,0,3,6,2,5,60,70,9,10,0,3,18,6,4,87,76,15,9,0,1,10,10,2,92,117,18,10,1,2,12,12,1,77,111,11,7,5,2,15,21,2,78,80,6,4,27,0,19,13,3,48,20,9,1,157,0,1,8,0,7,5,2,2,486,2,6,7,8
E02002562,37,24,0,30,0,58,0,0,2,18,28,1,12,0,6,0,2,1,11,63,5,27,0,5,1,4,6,19,147,6,23,0,1,1,10,6,17,134,16,18,3,0,4,4,1,13,115,16,15,0,0,6,12,2,13,166,23,34,0,1,4,19,4,17,154,20,11,0,0,1,24,8,12,120,22,16,4,0,3,17,4,8,74,21,12,16,0,2,45,3,14,54,8,5,44,0,1,35,3,11,8,7,3,356,0,0,5,7,55,16,3,36,0,47,8,1,5,39,16,1,12,0,7,10,0,5,31,66,0,7,0,4,21,1,5,47,119,6,28,0,2,33,6,11,62,58,8,14,0,4,24,8,3,73,61,14,14,0,2,17,8,10,75,80,9,14,1,0,18,14,8,83,84,12,10,0,0,8,19,5,56,87,13,16,3,0,9,16,0,52,42,6,9,16,0,15,14,4,35,19,8,1,101,1,1,5,7,11,8,2,0,523,0,3,7,11
E02002563,23,19,1,31,0,69,2,1,1,13,32,0,13,0,4,0,2,1,7,53,6,12,0,1,1,4,2,12,79,7,12,0,1,1,2,6,7,92,14,6,0,0,6,5,5,7,113,17,9,0,0,0,8,2,8,97,23,9,0,0,4,11,2,6,121,19,12,0,0,4,14,4,14,122,21,3,6,1,4,23,1,12,94,23,11,15,0,3,26,2,19,69,20,4,76,0,0,26,4,15,12,7,2,424,1,1,12,6,28,14,0,19,0,36,1,0,8,23,18,3,4,0,4,6,2,0,31,43,0,5,0,4,3,2,2,36,64,7,5,0,1,11,1,1,42,54,3,10,0,1,14,4,3,65,48,11,4,1,3,20,5,0,71,74,3,12,0,0,8,13,2,61,88,9,0,0,0,17,14,3,72,90,10,12,7,3,21,14,6,53,90,9,4,19,0,21,30,4,50,24,9,0,144,0,2,10,0,10,7,1,2,592,1,3,15,9
E02002564,54,38,1,55,0,102,0,0,4,16,41,1,29,0,5,0,3,4,27,79,7,24,1,3,0,4,3,28,180,18,24,0,2,0,9,3,25,162,17,29,0,1,4,7,7,22,212,30,19,0,1,4,24,10,17,200,45,19,0,0,8,30,5,28,248,50,14,0,0,6,27,6,14,174,33,13,4,1,3,31,3,9,142,34,12,18,0,6,43,4,22,71,24,7,68,0,3,39,11,14,17,12,1,648,0,1,7,7,58,20,0,38,0,103,3,4,7,38,22,0,18,0,8,4,3,7,37,58,2,13,0,2,8,5,3,62,126,10,19,0,8,44,9,6,111,107,7,22,0,4,43,10,5,112,121,14,18,0,1,52,23,3,141,128,16,23,3,3,26,25,7,126,160,16,17,1,1,36,34,5,101,124,17,12,9,0,31,34,9,79,81,7,12,9,0,28,53,4,63,25,4,2,155,0,6,7,7,28,15,2,2,862,1,1,7,14
E02002565,31,19,0,25,0,60,0,1,0,13,38,1,20,0,8,0,0,4,14,62,5,26,0,4,0,6,2,19,161,17,32,0,0,2,11,3,9,149,18,7,0,2,2,14,3,18,126,17,11,0,0,0,14,5,11,139,19,10,0,1,1,4,5,8,131,22,11,0,1,1,22,3,10,113,26,10,1,0,0,16,5,13,76,21,10,9,0,0,10,6,13,45,19,4,52,0,1,15,0,8,8,12,1,283,0,0,1,2,37,19,0,14,0,39,2,0,3,25,27,0,7,0,9,4,0,3,42,81,0,16,0,4,12,2,5,75,150,5,16,0,7,17,7,6,52,116,12,10,0,1,16,10,3,55,98,9,17,0,2,15,8,3,62,80,7,9,0,0,10,8,2,59,87,9,4,0,0,14,12,6,50,115,9,9,2,1,14,15,4,47,52,8,4,9,0,8,17,0,41,16,5,0,90,0,3,2,0,21,3,3,0,376,1,0,0,6
E02002566,20,22,0,55,0,68,1,3,13,18,50,0,35,0,6,1,6,4,28,105,11,45,0,1,0,10,7,44,238,23,58,0,6,1,15,14,38,207,35,28,0,7,8,30,13,28,134,22,31,0,0,3,34,10,18,122,40,28,2,0,1,36,5,19,132,42,17,4,1,1,48,2,17,108,22,22,2,2,4,45,10,15,70,29,17,9,0,1,42,4,13,43,25,6,58,0,0,23,4,5,11,14,3,280,1,0,13,6,46,31,2,36,0,60,16,1,7,32,32,2,20,0,13,15,3,8,43,83,3,22,0,8,29,5,17,68,155,10,26,0,7,40,14,8,46,116,12,19,0,6,42,10,12,63,70,10,18,0,7,38,28,9,45,73,13,14,0,3,26,21,15,47,73,19,13,0,1,19,17,6,51,73,17,17,6,1,10,25,4,28,40,6,10,9,1,9,30,9,22,18,9,1,69,0,0,3,4,11,2,3,1,410,1,0,8,17
E02002567,28,23,1,33,0,95,0,2,1,16,40,3,21,0,4,1,6,1,18,86,9,32,0,3,2,3,3,25,123,21,27,0,2,4,11,5,10,123,24,17,0,0,5,20,9,9,116,17,13,2,1,7,19,7,15,133,23,20,0,2,4,22,6,16,154,37,8,0,2,8,27,5,8,105,26,13,3,0,1,36,3,11,114,21,11,13,0,2,36,4,16,64,24,7,65,0,3,28,4,23,13,8,1,516,0,0,4,4,49,16,0,32,0,51,10,0,12,41,27,2,13,0,4,13,3,1,43,50,2,12,0,6,17,2,12,79,103,4,20,0,11,43,5,9,72,71,10,15,0,2,43,5,10,69,57,8,14,1,3,22,9,10,69,74,9,15,3,2,23,19,5,80,102,8,7,2,1,20,22,5,71,101,10,12,1,0,16,31,4,50,66,6,7,13,1,16,32,9,44,27,5,3,135,0,6,4,4,30,13,4,0,676,0,1,12,16
E02002568,31,15,1,17,0,64,0,0,6,7,14,0,7,0,9,0,1,2,6,47,8,14,0,6,0,0,2,9,96,10,7,0,2,0,4,0,4,93,15,7,0,2,0,4,0,8,120,25,9,0,0,3,3,2,5,154,35,5,0,1,3,6,2,10,172,53,8,0,0,3,9,1,5,148,62,10,4,1,3,7,0,12,107,45,10,19,0,0,6,2,14,60,48,4,74,0,0,7,2,21,12,19,2,477,1,0,2,5,53,6,0,9,0,54,0,0,1,18,16,0,3,0,3,1,0,1,13,36,2,7,0,1,2,2,1,14,84,4,8,0,6,5,2,1,29,60,5,0,1,0,10,3,2,67,89,14,4,1,6,16,4,2,83,108,31,6,1,3,14,9,1,67,103,24,4,1,2,19,5,4,66,98,20,6,3,0,13,2,4,63,66,15,9,27,1,11,5,5,34,22,13,2,122,0,5,3,0,13,3,10,1,691,2,3,4,12
