geography code,M 1 16_19,M 1 20_21,M 1 22_24,M 1 25_29,M 1 30_34,M 1 35_39,M 1 40_44,M 1 45_49,M 1 50_54,M 1 55_59,M 1 60_64,M 1 65+,M 2 16_19,M 2 20_21,M 2 22_24,M 2 25_29,M 2 30_34,M 2 35_39,M 2 40_44,M 2 45_49,M 2 50_54,M 2 55_59,M 2 60_64,M 2 65+,M 3 16_19,M 3 20_21,M 3 22_24,M 3 25_29,M 3 30_34,M 3 35_39,M 3 40_44,M 3 45_49,M 3 50_54,M 3 55_59,M 3 60_64,M 3 65+,M 4 16_19,M 4 20_21,M 4 22_24,M 4 25_29,M 4 30_34,M 4 35_39,M 4 40_44,M 4 45_49,M 4 50_54,M 4 55_59,M 4 60_64,M 4 65+,M 5 16_19,M 5 20_21,M 5 22_24,M 5 25_29,M 5 30_34,M 5 35_39,M 5 40_44,M 5 45_49,M 5 50_54,M 5 55_59,M 5 60_64,M 5 65+,M 6 16_19,M 6 20_21,M 6 22_24,M 6 25_29,M 6 30_34,M 6 35_39,M 6 40_44,M 6 45_49,M 6 50_54,M 6 55_59,M 6 60_64,M 6 65+,M 7 16_19,M 7 20_21,M 7 22_24,M 7 25_29,M 7 30_34,M 7 35_39,M 7 40_44,M 7 45_49,M 7 50_54,M 7 55_59,M 7 60_64,M 7 65+,M 8 16_19,M 8 20_21,M 8 22_24,M 8 25_29,M 8 30_34,M 8 35_39,M 8 40_44,M 8 45_49,M 8 50_54,M 8 55_59,M 8 60_64,M 8 65+,M 9 16_19,M 9 20_21,M 9 22_24,M 9 25_29,M 9 30_34,M 9 35_39,M 9 40_44,M 9 45_49,M 9 50_54,M 9 55_59,M 9 60_64,M 9 65+,F 1 16_19,F 1 20_21,F 1 22_24,F 1 25_29,F 1 30_34,F 1 35_39,F 1 40_44,F 1 45_49,F 1 50_54,F 1 55_59,F 1 60_64,F 1 65+,F 2 16_19,F 2 20_21,F 2 22_24,F 2 25_29,F 2 30_34,F 2 35_39,F 2 40_44,F 2 45_49,F 2 50_54,F 2 55_59,F 2 60_64,F 2 65+,F 3 16_19,F 3 20_21,F 3 22_24,F 3 25_29,F 3 30_34,F 3 35_39,F 3 40_44,F 3 45_49,F 3 50_54,F 3 55_59,F 3 60_64,F 3 65+,F 4 16_19,F 4 20_21,F 4 22_24,F 4 25_29,F 4 30_34,F 4 35_39,F 4 40_44,F 4 45_49,F 4 50_54,F 4 55_59,F 4 60_64,F 4 65+,F 5 16_19,F 5 20_21,F 5 22_24,F 5 25_29,F 5 30_34,F 5 35_39,F 5 40_44,F 5 45_49,F 5 50_54,F 5 55_59,F 5 60_64,F 5 65+,F 6 16_19,F 6 20_21,F 6 22_24,F 6 25_29,F 6 30_34,F 6 35_39,F 6 40_44,F 6 45_49,F 6 50_54,F 6 55_59,F 6 60_64,F 6 65+,F 7 16_19,F 7 20_21,F 7 22_24,F 7 25_29,F 7 30_34,F 7 35_39,F 7 40_44,F 7 45_49,F 7 50_54,F 7 55_59,F 7 60_64,F 7 65+,F 8 16_19,F 8 20_21,F 8 22_24,F 8 25_29,F 8 30_34,F 8 35_39,F 8 40_44,F 8 45_49,F 8 50_54,F 8 55_59,F 8 60_64,F 8 65+,F 9 16_19,F 9 20_21,F 9 22_24,F 9 25_29,F 9 30_34,F 9 35_39,F 9 40_44,F 9 45_49,F 9 50_54,F 9 55_59,F 9 60_64,F 9 65+
E02002559,1,1,5,23,43,53,86,62,54,50,43,21,1,2,12,36,76,62,82,68,46,42,33,19,8,6,22,45,87,87,81,52,31,27,17,12,4,4,10,10,11,6,12,9,15,5,9,3,14,11,23,32,47,44,65,67,66,47,38,36,1,2,4,5,6,4,7,6,4,8,3,0,12,8,9,17,8,6,9,9,5,3,3,4,1,6,3,6,10,18,24,38,35,27,25,10,28,8,15,8,11,10,19,14,14,8,5,7,1,1,3,13,15,33,37,38,38,20,18,9,0,2,23,54,89,92,80,69,67,44,18,9,3,4,11,41,40,61,39,42,34,15,14,3,4,5,12,39,29,62,60,82,56,40,31,22,0,1,2,4,1,4,9,8,6,9,10,13,15,7,23,24,35,40,50,47,26,23,13,6,30,18,20,16,23,15,18,26,19,11,9,8,1,1,0,1,3,4,10,3,0,0,1,1,29,6,7,9,12,7,20,15,18,9,7,6
E02002560,1,3,1,9,11,29,32,24,22,15,13,4,3,2,4,12,20,28,22,31,19,15,7,0,6,6,6,27,19,33,30,29,20,11,9,3,1,5,8,17,4,12,11,7,13,2,4,2,18,11,22,24,32,41,58,58,53,42,30,13,3,3,5,5,2,7,7,5,4,7,5,3,24,11,12,15,10,14,12,9,7,9,2,3,5,2,2,11,18,22,33,44,45,22,21,5,23,9,11,12,18,16,26,16,19,12,11,8,2,1,1,10,12,13,19,19,21,11,7,1,1,0,5,30,23,31,23,38,15,11,5,1,2,2,9,13,20,22,28,24,13,9,3,2,3,10,14,22,39,43,65,53,48,26,19,13,0,1,0,1,4,4,4,5,2,5,5,1,16,11,15,29,21,25,46,35,31,25,9,5,36,14,18,21,29,26,30,28,25,19,20,8,1,0,2,0,1,4,3,2,2,1,0,2,11,3,9,7,5,11,19,17,20,15,8,9
E02002561,0,3,5,8,7,20,22,28,33,26,18,7,1,1,2,21,17,17,22,26,26,22,14,2,5,5,19,26,25,16,30,26,22,26,16,1,3,4,4,14,7,8,10,10,9,14,11,3,7,12,19,20,21,38,40,35,38,38,23,9,3,3,2,2,3,2,5,7,5,8,8,1,9,6,7,11,11,11,10,6,2,5,15,2,2,6,6,12,18,17,19,29,45,30,24,5,14,8,10,8,9,11,18,20,16,20,14,4,0,3,5,6,14,9,8,17,18,11,3,1,0,0,10,25,28,27,30,29,32,25,4,2,2,3,5,14,19,18,15,29,19,15,6,1,8,9,19,32,34,28,43,58,46,45,18,2,2,1,1,0,2,1,4,6,3,3,1,0,4,10,12,23,15,26,41,42,38,20,16,1,19,17,14,13,22,20,21,25,26,35,17,6,0,0,0,3,4,1,5,1,2,2,1,0,19,5,7,5,5,9,11,20,15,8,11,1
E02002562,1,1,4,10,13,12,13,16,17,13,4,6,2,0,1,19,9,9,16,16,11,7,3,1,5,6,9,32,17,10,18,19,16,11,2,2,2,4,11,8,11,12,8,7,7,7,9,1,16,7,14,33,45,31,53,46,42,25,20,2,2,1,4,5,4,3,7,4,5,5,1,2,15,9,15,27,17,13,9,17,6,5,5,3,1,5,9,13,36,25,49,44,28,22,22,4,17,14,12,25,15,29,29,22,22,8,10,5,1,0,0,8,2,5,14,19,14,5,4,1,2,2,11,29,17,17,10,21,25,12,5,3,4,1,5,19,15,9,7,5,7,5,4,0,5,5,16,37,20,31,37,31,31,17,11,5,2,3,5,2,4,7,8,7,7,8,2,3,12,11,23,29,23,33,29,41,25,18,8,1,29,23,29,31,19,25,32,23,25,15,17,3,2,1,0,4,2,4,3,4,5,2,0,1,17,10,8,13,26,17,24,28,17,18,11,4
E02002563,0,4,2,8,10,12,9,15,19,16,8,5,0,3,5,15,18,16,12,19,21,12,9,4,4,2,12,9,15,16,17,23,23,8,6,4,0,5,5,7,8,8,4,6,7,5,5,1,16,10,17,21,24,31,33,29,29,31,27,11,2,3,2,1,3,3,4,3,6,6,2,1,7,4,11,18,12,9,3,7,7,5,1,1,1,1,8,12,10,26,25,22,29,26,34,6,13,13,4,7,13,16,21,22,16,20,16,1,2,1,6,5,4,12,7,11,16,12,6,3,0,1,11,11,20,12,21,22,22,14,9,2,1,5,7,18,12,17,13,12,14,7,5,1,4,5,8,17,22,16,30,31,29,28,14,1,1,0,2,4,5,4,2,7,7,5,4,0,9,10,19,22,19,21,24,30,37,32,14,2,18,13,16,20,7,28,16,25,22,29,16,2,0,1,0,2,0,1,2,4,0,3,1,3,7,8,5,8,10,13,33,16,25,22,14,4
E02002564,0,1,5,16,19,27,30,29,18,14,10,2,0,2,7,27,26,38,26,41,21,11,10,3,13,3,15,39,28,36,28,33,23,14,11,3,2,9,11,17,17,16,11,19,8,17,6,1,24,15,32,50,49,60,61,70,43,39,27,7,0,1,6,4,4,7,9,10,9,8,5,3,23,3,10,23,12,16,12,12,11,6,3,1,2,7,8,23,20,41,48,58,50,44,26,11,29,17,19,27,29,23,37,54,38,32,19,12,0,0,4,10,8,11,12,24,21,14,4,0,0,1,9,34,37,33,29,34,29,15,11,8,3,0,2,16,24,16,19,24,17,4,4,2,9,5,19,47,51,49,59,73,51,41,19,8,1,3,4,2,3,10,12,5,8,5,2,2,15,12,32,46,32,58,67,53,53,29,10,3,37,25,22,21,45,42,51,54,38,21,11,8,1,1,1,3,4,3,4,6,3,6,1,2,12,13,4,19,21,25,32,29,22,32,30,12
E02002565,0,0,4,11,19,15,14,10,11,8,3,4,2,6,3,25,39,22,30,17,25,17,8,3,7,6,10,31,33,28,25,20,15,13,9,4,5,3,13,17,13,16,7,8,11,6,4,2,10,16,15,41,29,23,26,27,28,21,20,6,2,2,1,3,3,6,7,11,8,4,5,2,11,7,13,33,19,11,9,5,6,2,2,2,1,5,6,12,13,24,23,38,27,26,17,2,12,7,16,24,8,16,28,25,18,13,9,3,0,0,5,12,14,13,14,9,14,7,3,2,0,1,9,47,49,38,27,31,30,10,9,1,1,3,5,32,30,11,10,15,19,10,2,2,8,13,24,53,25,32,23,26,34,31,16,7,0,1,3,4,3,2,2,5,3,2,1,2,12,13,17,29,23,25,29,34,33,13,5,4,16,13,46,37,26,28,25,18,17,14,14,3,1,2,1,0,2,1,6,4,3,3,0,0,18,6,13,16,8,12,13,13,21,17,12,6
E02002566,3,5,5,25,22,15,18,20,20,16,9,5,0,3,18,53,40,23,29,29,14,14,10,6,4,3,18,34,31,20,22,22,9,8,7,1,0,5,17,16,18,9,4,5,5,2,2,0,6,14,12,45,41,28,34,39,28,23,20,7,0,5,12,10,20,4,9,11,7,7,6,0,13,7,10,44,29,18,9,11,8,6,2,0,0,3,15,19,20,36,31,19,26,19,10,3,16,23,37,59,59,31,24,37,30,19,15,8,0,4,8,12,11,8,12,17,9,7,6,2,1,0,12,50,43,32,24,28,24,12,4,1,1,4,10,33,9,11,17,6,18,3,7,1,16,13,23,44,32,16,20,17,20,12,6,2,1,2,1,1,2,10,4,3,4,6,4,1,13,9,23,32,22,26,19,19,18,7,6,1,21,24,33,36,31,18,11,27,24,10,9,3,0,0,2,4,7,1,4,1,3,3,1,0,26,10,17,21,17,21,20,21,21,14,6,5
E02002567,0,1,5,10,3,18,16,22,11,14,12,4,0,1,11,11,18,13,17,13,9,12,8,3,3,7,10,15,14,14,13,20,7,8,5,4,3,2,13,11,10,3,5,8,6,8,3,6,13,12,15,37,40,27,49,51,43,47,27,7,3,3,10,19,5,0,5,6,5,4,3,3,8,13,12,22,12,11,11,16,3,4,4,5,2,7,8,18,22,30,30,37,35,35,24,6,20,13,29,26,33,26,25,34,20,14,18,6,4,2,3,7,11,10,12,10,11,11,4,0,0,1,6,18,14,11,19,9,13,13,6,4,2,8,4,18,16,13,11,12,9,5,1,4,3,6,21,30,23,19,30,25,33,29,15,13,2,1,1,10,3,3,7,11,5,4,3,1,10,17,13,47,30,30,35,41,32,22,6,7,30,18,31,36,29,26,19,42,41,21,19,10,0,0,1,3,1,4,2,7,5,5,2,3,14,17,15,17,26,18,17,33,33,12,20,5
E02002568,0,0,3,10,17,36,38,65,55,40,22,7,2,1,7,32,41,52,69,75,65,50,41,21,2,4,19,26,25,30,42,41,41,18,21,9,5,1,9,12,2,2,4,12,4,13,5,4,10,1,9,7,10,13,21,20,24,23,16,3,2,1,0,2,2,2,5,4,5,4,2,1,8,5,7,12,5,4,6,3,5,5,1,2,3,2,3,4,4,7,6,7,13,9,11,2,15,6,4,10,6,7,3,8,3,2,3,3,0,1,2,7,5,13,33,25,20,18,10,4,0,2,11,42,37,67,75,66,72,44,25,6,0,3,8,15,16,40,27,31,15,13,4,3,5,7,12,15,19,20,39,28,40,36,17,4,3,2,0,0,1,2,5,1,3,3,1,0,7,4,9,13,8,16,25,24,22,16,7,2,22,11,4,1,5,7,10,12,9,9,4,6,1,0,0,3,1,3,2,0,1,0,1,0,21,4,5,6,2,2,6,7,2,5,0,1
