geography code,total,1PE,1PA,1FE,1FM,1FM-0C,1FM-1C,1FM-nC,1FM-nA,1FC,1FC-0C,1FC-1C,1FC-nC,1FC-nA,1FL,1FL-1C,1FL-nC,1FL-nA,1H-1C,1H-nC,1H-nA,1H-nE,OH-Adult
E02005940,2541,439,405,300,811,282,151,246,132,142,94,16,29,3,198,71,59,68,28,16,12,14,176
E02005941,2820,485,590,192,891,310,170,319,92,178,135,16,22,5,201,71,73,57,24,20,37,18,184
E02005942,2152,260,552,126,696,272,132,236,56,138,113,15,7,3,90,44,19,27,19,30,81,6,154
E02005943,2560,363,348,299,871,304,150,236,181,141,93,20,24,4,195,49,53,93,20,29,69,9,216
E02005944,2351,399,296,178,695,222,108,205,160,157,80,20,46,11,360,108,135,117,40,54,15,9,148
E02005945,3462,640,481,351,991,309,208,319,155,222,155,40,21,6,222,77,47,98,40,24,121,24,346
E02005946,3119,510,422,235,1121,389,193,354,185,222,148,35,33,6,243,90,70,83,31,28,58,20,229
E02005947,2622,360,991,91,506,255,95,104,52,174,150,10,10,4,118,53,28,37,17,13,142,7,203
E02005948,2776,427,792,90,562,257,116,121,68,292,224,38,22,8,167,71,31,65,17,12,105,6,306
E02005949,2240,345,338,168,542,175,100,147,120,145,80,28,29,8,270,99,75,96,33,24,169,13,193
E02005950,3982,356,1000,107,714,272,151,208,83,343,252,33,47,11,263,111,69,83,41,34,573,7,544
E02005951,2499,382,622,113,551,188,96,188,79,207,146,24,34,3,185,74,57,54,38,24,89,6,282
E02005952,4443,540,870,264,1261,435,244,364,218,376,270,42,51,13,348,112,101,135,64,64,151,18,487
E02005953,2069,251,411,77,506,156,127,159,64,176,109,36,26,5,181,75,56,50,26,24,114,6,297
E02005954,3552,616,534,334,1133,371,216,338,208,260,168,40,46,6,282,92,76,114,41,47,24,24,257
E02005955,3625,565,550,285,1138,340,236,324,238,274,156,51,51,16,478,152,165,161,40,54,13,19,209
E02005956,2340,283,356,162,712,215,108,238,151,204,89,40,64,11,426,152,163,111,39,44,12,3,99
E02005957,2579,194,607,77,693,219,152,232,90,306,160,71,68,7,495,195,212,88,24,30,8,5,140
E02005921,2180,253,232,262,1060,474,179,277,130,165,115,22,24,4,104,27,34,43,21,11,5,7,60
E02005922,2453,203,431,134,1045,347,213,342,143,314,198,62,48,6,205,80,69,56,24,18,0,6,73
E02005923,2278,325,323,192,779,270,138,233,138,237,128,49,51,9,247,90,95,62,31,30,7,9,98
E02005924,4239,593,1127,167,1107,463,217,328,99,646,460,104,66,16,291,135,83,73,42,50,9,9,198
E02005925,3161,406,311,219,1224,370,206,411,237,289,95,64,112,18,491,168,191,132,38,48,7,13,115
E02005926,3167,554,335,419,1288,484,188,378,238,213,130,34,39,10,197,43,62,92,23,19,0,14,105
E02005927,2192,234,332,138,976,337,181,302,156,208,123,47,25,13,184,70,53,61,9,19,4,4,84
E02005928,2724,373,257,318,1328,510,201,419,198,166,107,24,28,7,143,42,40,61,15,28,3,12,81
E02005929,2637,321,299,294,1270,493,200,412,165,174,101,28,33,12,150,45,50,55,27,20,3,14,65
E02005930,3024,342,392,266,1371,556,242,393,180,312,198,55,47,12,190,61,66,63,21,29,0,11,90
E02005931,2996,229,334,210,1645,578,316,586,165,295,194,55,38,8,146,50,37,59,19,25,0,11,82
E02005932,2278,83,443,77,1082,360,250,391,81,362,278,51,27,6,113,54,34,25,22,19,0,0,77
E02005933,3036,237,385,194,1415,483,247,462,223,326,199,58,57,12,318,115,93,110,21,26,0,8,106
E02005934,3563,312,408,298,1641,532,302,536,271,349,202,63,72,12,356,120,106,130,42,45,0,10,102
E02005935,2734,309,633,120,1027,397,211,348,71,427,346,50,28,3,113,48,42,23,12,10,0,4,79
E02005936,3181,351,360,336,1486,590,243,422,231,257,150,42,53,12,189,42,57,90,28,31,3,15,125
E02005937,2699,434,286,295,1108,404,193,295,216,188,108,24,44,12,199,55,65,79,22,31,4,7,125
E02005938,2185,263,208,265,966,274,156,348,188,147,81,34,28,4,187,60,69,58,27,33,3,10,76
E02005939,2496,296,409,277,1000,361,168,292,179,231,149,30,40,12,133,35,34,64,16,16,0,13,105
E02005940,2541,439,405,300,811,282,151,246,132,142,94,16,29,3,198,71,59,68,28,16,12,14,176
E02005941,2820,485,590,192,891,310,170,319,92,178,135,16,22,5,201,71,73,57,24,20,37,18,184
E02005942,2152,260,552,126,696,272,132,236,56,138,113,15,7,3,90,44,19,27,19,30,81,6,154
